Session ID,Date,Login Time (Local),Logout Time (Local),Duration,Status,Device,IP Address
"sess_1786508882736","Aug 12","Aug 12 2026 09:58:02 AM","Aug 12 2026 09:58:02 AM","00m 00s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786508794208","Aug 12","Aug 12 2026 09:56:34 AM","Aug 12 2026 09:58:02 AM","01m 28s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786508794207","Aug 12","Aug 12 2026 09:56:34 AM","Aug 12 2026 09:56:34 AM","00m 00s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786508700246","Aug 12","Aug 12 2026 09:55:00 AM","Aug 12 2026 09:56:34 AM","01m 33s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786508700244","Aug 12","Aug 12 2026 09:55:00 AM","Aug 12 2026 09:55:00 AM","00m 00s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786508635796","Aug 12","Aug 12 2026 09:53:55 AM","Aug 12 2026 09:55:00 AM","01m 04s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786508635795","Aug 12","Aug 12 2026 09:53:55 AM","Aug 12 2026 09:53:55 AM","00m 00s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786508633905","Aug 12","Aug 12 2026 09:53:53 AM","Aug 12 2026 09:53:55 AM","00m 01s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786508633904","Aug 12","Aug 12 2026 09:53:53 AM","Aug 12 2026 09:53:53 AM","00m 00s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786508531466","Aug 12","Aug 12 2026 09:52:11 AM","Aug 12 2026 09:53:53 AM","01m 42s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786508531465","Aug 12","Aug 12 2026 09:52:11 AM","Aug 12 2026 09:52:11 AM","00m 00s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786508247938","Aug 12","Aug 12 2026 09:47:27 AM","Aug 12 2026 09:52:11 AM","04m 43s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786508247936","Aug 12","Aug 12 2026 09:47:27 AM","Aug 12 2026 09:47:27 AM","00m 00s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786390530359","Aug 11","Aug 11 2026 01:05:30 AM","Aug 12 2026 09:47:27 AM","32h 41m 57s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786390519023","Aug 11","Aug 11 2026 01:05:19 AM","Aug 11 2026 01:05:30 AM","00m 11s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786390519016","Aug 11","Aug 11 2026 01:05:19 AM","Aug 11 2026 01:05:19 AM","00m 00s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786390507719","Aug 11","Aug 11 2026 01:05:07 AM","Aug 11 2026 01:05:19 AM","00m 11s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786390507716","Aug 11","Aug 11 2026 01:05:07 AM","Aug 11 2026 01:05:07 AM","00m 00s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
"sess_1786389820332","Aug 11","Aug 11 2026 12:53:40 AM","Aug 11 2026 01:05:07 AM","11m 27s","Logged Out","Windows Desktop","192.168.1.104 (Localhost)"
